time,x,y,z
0.0,0.21535961,3.0101886,9.071506
0.01,1.3137045,8.668626,12.150793
0.02,1.3137045,8.599979,14.327869
0.03,1.2940911,8.21752,16.093067
0.04,1.0587316,7.83506,16.799145
0.049999997,1.0587316,7.5506673,16.279392
0.059999995,1.3333178,7.5506673,15.181048
0.06999999,1.6961638,7.5506673,13.935603
0.07999999,1.9805567,7.629121,12.611706
0.08999999,1.9805567,7.6879606,11.503554
0.09999999,1.6667439,7.6683474,10.611149
0.109999985,1.2842845,7.276081,9.787391
0.11999998,0.8920185,6.8543954,9.130345
0.12999998,0.81356525,6.3248363,8.777306
0.13999999,0.81356525,5.8148904,8.414459
0.14999999,1.1469914,5.5108843,8.306586
0.16,1.7255838,5.4030113,7.963353
0.17,2.3434026,5.128425,7.6495404
0.18,2.3434026,4.8636456,6.7571354
0.19000001,2.8435419,4.4615726,6.6394553
0.20000002,3.3829076,3.8437538,6.7081017
0.21000002,3.6182673,3.1867082,6.9434614
0.22000003,3.5202007,2.461016,6.874815
0.23000003,3.1279347,1.7843571,6.5511956
0.24000004,2.0492032,1.2155714,6.060863
0.25000003,1.97075,0.63697904,5.6882105
0.26000002,2.6277955,0.5683325,5.6587906
0.27,2.7356687,0.32316625,5.7176304
0.28,2.814122,0.038773403,5.7176304
0.29,2.892575,-0.314266,5.452851
0.29999998,3.628074,-0.38291255,5.394011
0.30999997,3.9516933,-0.38291255,5.501884
0.31999996,4.0105333,-0.3534926,5.7470503
0.32999995,4.0301466,-0.098519705,5.7176304
0.33999994,4.275313,0.14664656,5.3155575
0.34999993,4.5400925,0.2545197,5.3351707
0.35999992,5.1775246,1.1076982,6.0216365
0.36999992,5.2363644,1.7941637,6.0804763
0.3799999,5.6874704,2.6767623,6.7767487
0.3899999,4.6773853,3.4318745,7.2768874
0.3999999,3.0494816,3.9124002,8.286973
0.40999988,2.196303,4.14776,10.797476
0.41999987,2.196303,4.11834,14.612263
0.42999986,2.6179888,3.804527,17.299284
0.43999985,2.725862,3.804527,18.201496
0.44999984,2.6081822,3.9124002,17.72097
0.45999983,2.137463,4.481186,16.416687
0.46999982,2.1080432,5.0205517,14.945688
0.4799998,2.5297291,5.6775975,13.876763
0.4899998,3.284841,6.2954164,13.2589445
0.4999998,4.1380196,6.7759423,12.562673
0.5099998,4.716612,7.0113015,11.611427
0.5199998,4.8244853,7.0113015,10.365983
0.5299998,4.804872,6.6778755,8.845952
0.5399998,4.039953,6.1385098,7.5318604
0.5499998,2.814122,5.5108843,6.5217757
0.55999976,1.3333178,4.7753854,6.090283
0.56999975,-0.26516625,4.0398865,6.1491227
0.57999974,-1.785197,3.5985875,6.668875
0.58999974,-2.8835418,3.3632278,7.3161144
0.5999997,-3.4719408,3.2651613,7.992773
0.6099997,-3.805367,2.882702,8.59098
0.6199997,-3.8740134,2.353143,9.061699
0.6299997,-3.8936267,1.9216502,9.081312
0.6399997,-3.7955604,1.8628103,9.061699
