time,x,y,z
0.0,1.0489249,5.236298,7.718187
0.01,2.1276565,4.167373,11.209354
0.02,3.2652278,4.2458262,10.895542
0.03,3.9516933,4.2164063,9.542224
0.04,4.549899,4.2164063,8.993052
0.049999997,4.6185455,3.9418201,9.012665
0.059999995,4.128213,3.216128,8.394846
0.06999999,3.461361,2.431596,8.14968
0.07999999,3.0004482,2.1570098,7.82606
0.08999999,2.7650886,2.1570098,7.4436007
0.09999999,2.8533485,2.3923695,7.012108
0.109999985,3.4221342,2.745409,6.600229
0.11999998,3.9124668,3.0690284,6.2275763
0.12999998,4.294926,3.167095,6.1491227
0.13999999,4.6479654,3.167095,6.1589293
0.14999999,5.0206184,2.7944422,6.5610023
0.16,5.079458,2.264883,7.021915
0.17,5.079458,2.1570098,7.6495404
0.18,5.138298,2.2158499,8.130067
0.19000001,5.2363644,2.3139162,7.688767
0.20000002,5.569791,2.3139162,6.6884885
0.21000002,6.0993495,2.2158499,6.060863
0.22000003,6.7269754,1.8333904,6.0804763
0.23000003,6.815235,1.8039703,7.629927
0.24000004,6.736782,1.5195775,8.865565
0.25000003,6.060123,0.862532,9.4735775
0.26000002,5.1775246,0.21529311,9.453964
0.27,4.294926,0.21529311,9.4735775
0.28,3.8045936,1.0096318,10.02275
0.29,4.069373,2.1864297,10.660182
0.29999998,6.1189632,3.6574273,12.248859
0.30999997,7.9528065,4.7949986,13.268751
0.31999996,9.767036,5.3343644,14.337676
0.32999995,10.561375,5.9816036,15.857707
0.33999994,9.796456,6.756329,17.112959
0.34999993,8.619658,7.5408607,17.112959
0.35999992,7.658607,8.452879,15.96558
0.36999992,6.7269754,9.129539,14.916268
0.3799999,5.8247633,9.207992,14.327869
0.3899999,5.118685,9.207992,14.03367
0.3999999,4.245893,9.207992,13.700244
0.40999988,3.6476872,9.639484,13.307978
0.41999987,3.1083214,10.29653,12.42538
0.42999986,2.4905024,10.826089,11.062255
0.43999985,2.078623,11.208548,9.434351
0.44999984,1.7550037,11.7283,8.1398735
0.45999983,1.8432635,12.248053,6.7571354
0.46999982,1.5392574,12.640319,6.335449
0.4799998,0.372266,13.101232,6.1000896
0.4899998,-1.030085,13.77789,5.98241
0.4999998,-2.0990098,14.464355,5.8745365
0.5099998,-2.8737352,15.091982,6.2177696
0.5199998,-2.8050885,15.807867,7.1886277
0.5299998,-2.8050885,16.396265,8.777306
0.5399998,-3.9132402,16.396265,10.415016
0.5499998,-5.7765036,15.8569,11.964467
0.55999976,-7.9928064,14.787975,13.151072
0.56999975,-10.111044,13.473885,14.749556
0.57999974,-11.533008,12.473606,16.887405
0.58999974,-11.552621,12.061727,18.48589
0.5999997,-10.111044,12.395153,19.280228
0.6099997,-6.8650417,13.277751,19.545008
0.6199997,-3.4229076,14.032864,18.711443
0.6299997,-1.4811908,14.709522,19.0939
