time,x,y,z
0.0,0.3134261,3.245548,8.993052
0.01,-0.0396133,4.1379533,9.277445
0.02,0.0584532,4.2458262,9.552031
0.03,0.0780665,4.3340864,9.522611
0.04,0.0780665,4.343893,9.414738
0.049999997,0.0780665,4.3536997,9.140152
0.059999995,0.0780665,4.3536997,9.071506
0.06999999,0.0780665,4.373313,8.8067255
0.07999999,0.087873146,4.4321527,8.8067255
0.08999999,0.16632636,4.5204124,8.8067255
0.09999999,0.40168595,4.5890594,8.8067255
0.109999985,0.40168595,4.6086726,8.747886
0.11999998,0.4114926,4.6184793,8.728272
0.12999998,0.43110588,4.628286,8.728272
0.13999999,0.4899458,4.628286,8.816532
0.14999999,0.50955915,4.628286,9.110732
0.16,0.5291724,4.628286,9.189185
0.17,0.53897905,4.628286,9.287251
0.18,0.5193658,4.530219,9.395124
0.19000001,0.42129925,4.2458262,9.463771
0.20000002,0.3330394,4.1869864,9.434351
0.21000002,-0.63781893,3.549554,8.953825
0.22000003,-0.35342613,3.637814,7.6201205
0.23000003,0.29381278,4.1281466,7.3651476
0.24000004,0.6958855,4.3635063,7.9241266
0.25000003,0.6664655,4.3635063,8.787112
0.26000002,0.6664655,4.3635063,9.326478
0.27,0.6664655,4.285053,9.424544
0.28,0.6664655,4.17718,9.444158
0.29,0.6664655,4.1085334,9.414738
0.29999998,0.68607885,4.1085334,9.316671
0.30999997,0.7056921,4.167373,9.248025
0.31999996,0.72530544,4.167373,9.248025
0.32999995,0.78414536,4.226213,9.355898
0.33999994,0.8527919,4.285053,9.453964
0.34999993,0.91163176,4.2948594,9.424544
0.35999992,0.91163176,4.2948594,9.130345
0.36999992,0.91163176,4.2948594,8.875372
0.3799999,0.91163176,4.3046665,8.630206
0.3899999,0.91163176,4.3046665,8.600786
0.3999999,0.8920185,4.3046665,8.600786
0.40999988,0.86259854,4.3046665,8.610593
0.41999987,0.8331786,4.3046665,8.689046
0.42999986,0.8331786,4.3046665,8.708659
0.43999985,0.8331786,4.3046665,8.640013
0.44999984,0.72530544,4.2458262,8.394846
0.45999983,0.43110588,4.1575665,8.375233
0.46999982,0.4114926,4.08892,8.29678
0.4799998,0.3526527,4.08892,8.277166
0.4899998,0.3526527,4.08892,8.336006
0.4999998,0.372266,4.08892,8.757692
0.5099998,0.4507192,4.14776,9.032278
0.5199998,0.53897905,4.2164063,9.032278
0.5299998,0.53897905,4.226213,9.032278
0.5399998,0.53897905,4.226213,8.953825
0.5499998,0.50955915,4.2065997,8.953825
0.55999976,0.48013917,4.1869864,9.022471
0.56999975,0.48013917,4.1869864,9.042085
0.57999974,0.48013917,4.1869864,9.346091
0.58999974,0.48013917,4.1869864,9.610871
0.5999997,0.54878575,4.2065997,9.591257
0.6099997,0.86259854,4.481186,9.140152
0.6199997,1.1371847,4.7459655,8.757692
0.6299997,1.2352512,4.991132,8.4340725
0.6399997,1.5882907,5.2559114,8.345813
0.6499997,1.5686773,5.324558,8.345813
0.65999967,1.4608042,5.324558,8.345813
0.66999966,1.0685382,5.2461047,8.345813
0.67999965,0.68607885,4.883259,8.345813
0.68999964,0.36245933,4.8048053,8.355619
0.69999963,0.28400615,4.726352,8.453686
0.7099996,0.2545862,4.657706,9.042085
0.7199996,0.2545862,4.5890594,9.277445
0.7299996,0.50955915,4.530219,9.277445
0.7399996,0.6174323,4.500799,9.257832
0.7499996,0.99989164,4.4321527,9.149959
0.7599996,1.2744778,4.402733,9.042085
0.76999956,1.3725443,4.373313,8.934212
0.77999955,1.6569372,4.343893,8.630206
0.78999954,2.3728228,4.343893,8.198713
0.79999954,2.647409,4.314473,8.29678
0.8099995,2.6179888,4.2164063,8.767499
0.8199995,2.3434026,4.1379533,9.091119
0.8299995,2.255143,4.1379533,9.091119
0.8399995,1.9805567,4.0791135,9.100925
0.8499995,1.8922968,3.9908535,9.100925
0.8599995,1.7844236,3.892787,8.865565
0.86999947,1.7059704,3.8339472,8.551753
0.87999946,1.7059704,3.8143337,8.483106
0.88999945,1.7844236,3.8143337,8.463492
0.89999944,1.7648103,3.7358806,8.483106
0.90999943,1.2254446,3.4220679,8.041806
0.9199994,2.02959,3.5201342,8.041806
0.9299994,2.1178498,3.5201342,9.228412
0.9399994,2.1178498,3.4907143,10.05217
0.9499994,2.0982366,3.4318745,10.307143
0.9599994,2.0099766,3.412261,10.2188835
0.9699994,2.0099766,3.333808,9.708938
0.97999936,2.0099766,3.0592217,9.189185
0.98999935,2.0099766,3.0592217,8.865565
0.99999934,2.02959,3.0592217,8.836145
1.0099994,2.1178498,3.0396085,8.836145
1.0199994,2.1276565,3.0101886,9.198992
1.0299994,2.1276565,2.941542,9.267638
1.0399994,2.0982366,2.8630886,9.355898
1.0499994,2.078623,2.7846355,9.355898
1.0599993,2.078623,2.686569,8.993052
1.0699993,2.078623,2.6277292,8.973438
1.0799993,2.078623,2.608116,8.973438
1.0899993,2.078623,2.608116,9.042085
1.0999993,2.0982366,2.5885024,9.365705
1.1099993,2.0982366,2.519856,9.453964
1.1199993,2.078623,2.431596,9.542224
1.1299993,2.078623,2.4512093,9.787391
1.1399993,2.1766896,2.8140554,9.718744
1.1499993,2.4610825,2.8336687,9.453964
1.1599993,2.4414692,2.8140554,9.159765
1.1699992,2.1570764,2.7356024,9.159765
1.1799992,2.0884297,2.7356024,9.218605
1.1899992,2.0688164,3.0298018,9.453964
1.1999992,2.0688164,3.1180615,9.532417
1.2099992,1.7844236,3.1180615,9.865844
1.2199992,1.4509976,3.0592217,9.865844
1.2299992,1.1960247,3.1180615,9.885457
1.2399992,1.1764114,3.3730345,9.885457
1.2499992,1.1175715,3.3730345,9.650098
1.2599992,0.82337195,3.3534212,9.414738
1.2699991,0.7449187,3.333808,9.346091
1.2799991,0.7449187,3.4318745,9.238218
1.2899991,1.0685382,3.5299408,9.208798
1.2999991,1.3235111,3.6083941,9.228412
1.3099991,1.6275172,3.9222069,9.463771
1.3199991,1.8628769,3.9222069,9.914877
1.3299991,2.0982366,4.2164063,9.924684
1.3399991,2.5787623,4.2164063,9.924684
1.3499991,2.951415,4.2164063,9.836424
1.3599991,3.0298681,4.275246,9.591257
1.369999,3.3044543,4.3340864,9.502997
1.379999,3.3240678,4.402733,9.198992
1.389999,3.3240678,4.4125395,9.130345
1.399999,2.9710283,4.4125395,9.130345
1.409999,2.6179888,4.3831196,9.130345
1.419999,2.5101159,4.020273,9.571644
1.429999,1.9903634,3.9124002,10.19927
1.439999,1.5784839,3.9124002,10.620955
1.449999,1.5784839,3.9712403,10.620955
1.459999,1.5784839,4.0693064,10.16985
1.469999,1.5588707,4.1379533,9.346091
1.479999,1.2548646,4.2164063,8.345813
1.4899989,0.99989164,4.275246,7.6005073
1.4999989,0.68607885,4.2948594,7.208241
1.5099989,0.2741995,4.314473,7.2180476
1.5199989,-0.02980665,4.314473,7.963353
1.5299989,-0.27497292,4.226213,8.757692
1.5399989,-0.36323276,3.9712403,9.355898
1.5499989,-0.7260788,3.9712403,9.708938
1.5599989,-0.7456921,3.9908535,9.797197
1.5699989,-0.75549877,4.226213,9.728551
1.5799989,-0.77511203,4.32428,9.1793785
1.5899988,-0.8535652,4.628286,8.659626
1.5999988,-0.8535652,4.932292,8.100647
1.6099988,-0.83395195,5.216685,8.00258
1.6199988,-0.7653054,5.2853312,8.022193
1.6299988,-0.6672389,5.373591,8.610593
1.6399988,-0.39265272,5.3932047,9.159765
1.6499988,-0.3338128,5.3932047,9.512804
1.6599988,-0.2357463,5.3637843,9.591257
1.6699988,0.06825985,5.1088114,9.610871
1.6799988,0.3918793,5.0009384,9.669711
1.6899987,0.8527919,4.8930655,9.90507
1.6999987,1.2744778,4.785192,9.87565
